#,Qualidade,Prioridade,İşletme adı,Kategori,Bairro,Google Maps linki,Telefon/WhatsApp,Website,Instagram,Google puanı,Yorum sayısı,Gözle görülür problem,Satılabilecek hizmet,İlk mesaj PT-BR
1,A,10,Buxixo bar & Restaurante,Restaurante / Pizzaria,Rio Vermelho,https://www.google.com/maps/search/?api=1&query=Buxixo%20bar%20%26%20Restaurante%20Salvador%20BA,+55 71 30112646,Yok,https://www.instagram.com/shantirestaurante,Doğrulanacak,Doğrulanacak,Website não encontrado; Menu/catálogo online provável ausente; WhatsApp sem funil/CTA rastreável,Cardápio digital + WhatsApp pedidos + Google Business + Instagram CTA,"Olá, tudo bem? Vi o Buxixo bar & Restaurante em Salvador e percebi uma oportunidade de transformar WhatsApp/Google em mais pedidos, com cardápio/CTA mais direto e acompanhamento automático. Posso te mandar uma ideia rápida e objetiva?"
2,A,9,Supermercado Nova Ondina,Loja local,-,https://www.google.com/maps/search/?api=1&query=Supermercado%20Nova%20Ondina%20Salvador%20BA,+55 71 3356 5166,Yok,Bulunamadı,Doğrulanacak,Doğrulanacak,Website não encontrado; Instagram não identificado; WhatsApp sem funil/CTA rastreável,Catálogo/landing + WhatsApp atendimento + Google Business,"Olá, tudo bem? Vi a Supermercado Nova Ondina em Salvador e percebi uma oportunidade simples de melhorar a captação de clientes pelo WhatsApp/Google. Eu trabalho com landing pages, automação de WhatsApp e ajustes rápidos de presença digital. Posso te enviar uma ideia objetiva para aumentar os pedidos/contatos sem complicar?"
3,A,8,Escola Tempo de Crescer,Escola / Curso,-,https://www.google.com/maps/search/?api=1&query=Escola%20Tempo%20de%20Crescer%20Salvador%20BA,+55 71 32703810,Yok,Bulunamadı,Doğrulanacak,Doğrulanacak,Website não encontrado; Instagram não identificado; WhatsApp sem funil/CTA rastreável,Website/landing + WhatsApp automação + Google Business,"Olá, tudo bem? Vi a Escola Tempo de Crescer em Salvador e percebi uma oportunidade de melhorar a captação de interessados pelo Google/WhatsApp com página simples e formulário/atendimento automático. Posso te enviar uma ideia objetiva?"
4,A,8,Manjericão,Restaurante / Pizzaria,-,https://www.google.com/maps/search/?api=1&query=Manjeric%C3%A3o%20Salvador%20BA,+55 71 999528288,Yok,https://www.instagram.com/rest.manjericao/,Doğrulanacak,Doğrulanacak,Website não encontrado; Menu/catálogo online provável ausente; WhatsApp sem funil/CTA rastreável,Cardápio digital + WhatsApp pedidos + Google Business + Instagram CTA,"Olá, tudo bem? Vi o Manjericão em Salvador e percebi uma oportunidade de transformar WhatsApp/Google em mais pedidos, com cardápio/CTA mais direto e acompanhamento automático. Posso te mandar uma ideia rápida e objetiva?"
5,A,8,Academia Gama Fitness,Academia,vasco da gama,https://www.google.com/maps/search/?api=1&query=Academia%20Gama%20Fitness%20Salvador%20BA,+55 71 4141 6646,Yok,Bulunamadı,Doğrulanacak,Doğrulanacak,Website não encontrado; Instagram não identificado; Online agendamento/lead capture provável ausente,Landing page + agendamento/WhatsApp automático + campanhas locais,"Olá, tudo bem? Vi o Academia Gama Fitness e acho que dá para melhorar a chegada de clientes pelo WhatsApp com agendamento simples, link rastreável e mensagens automáticas. Posso te mandar uma ideia curta?"
6,A,8,Escola Estadual Visconde de Itaparica,Escola / Curso,Cabula,https://www.google.com/maps/search/?api=1&query=Escola%20Estadual%20Visconde%20de%20Itaparica%20Salvador%20BA,55 71 3384-8486,Yok,Bulunamadı,Doğrulanacak,Doğrulanacak,Website não encontrado; Instagram não identificado; WhatsApp sem funil/CTA rastreável,Website/landing + WhatsApp automação + Google Business,"Olá, tudo bem? Vi a Escola Estadual Visconde de Itaparica em Salvador e percebi uma oportunidade de melhorar a captação de interessados pelo Google/WhatsApp com página simples e formulário/atendimento automático. Posso te enviar uma ideia objetiva?"
7,A,8,Centro Médico Alexander Fleming,Clínica / Consultório,-,https://www.google.com/maps/search/?api=1&query=Centro%20M%C3%A9dico%20Alexander%20Fleming%20Salvador%20BA,55 71 3247-8837,Yok,Bulunamadı,Doğrulanacak,Doğrulanacak,Website não encontrado; Instagram não identificado; Online agendamento/lead capture provável ausente,Landing page + WhatsApp/rendez-vous automático + Google Business/SEO local,"Olá, tudo bem? Vi o Centro Médico Alexander Fleming em Salvador e notei uma oportunidade de captar mais pacientes pelo Google/WhatsApp com uma landing page simples, CTA claro e pré-atendimento automático. Posso te enviar uma sugestão rápida?"
8,A,8,CEO - Centro de Especialidades Odontológicas,Dentista / Clínica odontológica,Centro,https://www.google.com/maps/search/?api=1&query=CEO%20-%20Centro%20de%20Especialidades%20Odontol%C3%B3gicas%20Salvador%20BA,+55 71 3611 6819,Yok,Bulunamadı,Doğrulanacak,Doğrulanacak,Website não encontrado; Instagram não identificado; Online agendamento/lead capture provável ausente,Landing page + WhatsApp/rendez-vous automático + Google Business/SEO local,"Olá, tudo bem? Vi o CEO - Centro de Especialidades Odontológicas em Salvador e notei uma oportunidade de captar mais pacientes pelo Google/WhatsApp com uma landing page simples, CTA claro e pré-atendimento automático. Posso te enviar uma sugestão rápida?"
9,A,8,Selfday,Clínica / Consultório,-,https://www.google.com/maps/search/?api=1&query=Selfday%20Salvador%20BA,+55 7132372003,Yok,Bulunamadı,Doğrulanacak,Doğrulanacak,Website não encontrado; Instagram não identificado; Online agendamento/lead capture provável ausente,Landing page + WhatsApp/rendez-vous automático + Google Business/SEO local,"Olá, tudo bem? Vi o Selfday em Salvador e notei uma oportunidade de captar mais pacientes pelo Google/WhatsApp com uma landing page simples, CTA claro e pré-atendimento automático. Posso te enviar uma sugestão rápida?"
10,A,8,Cliden,Dentista / Clínica odontológica,-,https://www.google.com/maps/search/?api=1&query=Cliden%20Salvador%20BA,+55 71 3264 2205,Yok,Bulunamadı,Doğrulanacak,Doğrulanacak,Website não encontrado; Instagram não identificado; Online agendamento/lead capture provável ausente,Landing page + WhatsApp/rendez-vous automático + Google Business/SEO local,"Olá, tudo bem? Vi o Cliden em Salvador e notei uma oportunidade de captar mais pacientes pelo Google/WhatsApp com uma landing page simples, CTA claro e pré-atendimento automático. Posso te enviar uma sugestão rápida?"
